Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
SEIL.BO,120.4,2024/08/14,15:47 IST,-12.900002,128.0,139.95,120.0,1119367,,,,,,,
RHFL.BO,3.89,2024/08/14,15:56 IST,0.02000022,3.9,3.94,3.72,578568,,,,,,,
WEIZMANIND.BO,119.0,2024/08/14,15:28 IST,0.0,113.25,119.95,113.25,306,,,,,,,
KBCGLOBAL.BO,1.73,2024/08/14,15:41 IST,-0.049999952,1.8,1.79,1.72,1079890,,,,,,,
ANIKINDS.BO,68.45,2024/08/14,15:26 IST,-0.040000916,67.3,68.95,65.36,6188,,,,,,,
RIDDHICORP.BO,75.01,2024/08/14,15:28 IST,-0.8899994,75.9,78.0,75.01,7633,,,,,,,
PRAXIS.BO,15.31,2024/08/14,14:15 IST,0.3000002,14.72,15.31,14.72,3090,,,,,,,
IVP.BO,187.2,2024/08/14,15:46 IST,-4.800003,191.0,191.0,182.4,467,,,,,,,
INDAG.BO,280.25,2024/08/14,15:59 IST,-12.450012,292.75,298.0,278.1,34270,,,,,,,
KIRANVYPAR.BO,189.0,2024/08/14,15:29 IST,-1.1000061,192.0,192.0,186.0,899,,,,,,,
SAH.BO,75.12,2024/08/14,15:29 IST,-1.5899963,78.1,78.15,74.97,7193,,,,,,,
ACGL.BO,2838.7,2024/08/14,15:40 IST,-25.850098,2932.0,2932.0,2830.05,2940,,,,,,,
TAINWALCHM.BO,207.25,2024/08/14,15:15 IST,-3.75,215.0,215.0,207.25,25,,,,,,,
MAHASTEEL.BO,119.1,2024/08/14,15:28 IST,0.34999847,118.45,122.45,112.1,13189,,,,,,,
LAMBODHARA.BO,189.15,2024/08/14,15:47 IST,15.299988,184.0,204.1,183.35,24824,,,,,,,
DHRUV.BO,129.85,2024/08/14,15:15 IST,2.5000076,127.35,129.85,126.95,16842,,,,,,,
CTE.BO,102.5,2024/08/14,15:26 IST,-5.3499985,102.55,102.55,102.5,6170,,,,,,,
ATAM.BO,172.4,2024/08/14,15:28 IST,0.19999695,174.0,174.6,168.6,7258,,,,,,,
ALPA.BO,94.54,2024/08/14,15:28 IST,2.4800034,93.63,99.5,93.42,44188,,,,,,,
RUBFILA.BO,93.6,2024/08/14,15:29 IST,0.76999664,92.83,98.6,89.59,241931,,,,,,,
DUCON.BO,7.71,2024/08/14,15:29 IST,-0.029999733,7.8,8.1,7.57,164806,,,,,,,
AKI.BO,22.51,2024/08/14,15:45 IST,-0.6800003,23.12,23.54,22.04,31978,,,,,,,
DGCONTENT.BO,34.42,2024/08/14,11:25 IST,0.3999977,34.5,34.5,34.42,1004,,,,,,,
